App,Repository,SHA,Tag,TestFilePath,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,codeChurnTotal_P,codeChurnMax_P,codeChurnAvg_P,commits_P,Contributors_P,minorContributors_P,contributorsExperience_P,addLinesCount_P,addLinesMax_P,addLinesAvg_P,removedLinesCount_P,removedLinesMax_P,removedLinesAvg_P,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,isRefactored
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,3546c2ef8bcd74c128f6598a2b2c775e2f5c8d65,"2.0-pre2, 2.0-pre3",core/src/test/java/com/graphhopper/routing/ch/EdgeBasedNodeContractorTest.java,24,24,24,1,1,0,100.0,166,166,166,142,142,142,47.0,40.0,24.0,2.0,1.0,0.0,100.0,187.0,178.0,94.0,140.0,138.0,70.0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,61,0,0,62,0,919,84,107,418,0.0,4.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,3546c2ef8bcd74c128f6598a2b2c775e2f5c8d65,"2.0-pre2, 2.0-pre3",core/src/test/java/com/graphhopper/routing/ch/EdgeBasedWitnessPathSearcherTest.java,2,2,2,1,1,0,100.0,24,24,24,22,22,22,0.0,0.0,0.0,2.0,1.0,0.0,100.0,113.0,105.0,56.0,113.0,105.0,56.0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0,8.0,0,0,0,0,4,0,106,8,12,46,0.08,9.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,3546c2ef8bcd74c128f6598a2b2c775e2f5c8d65,"2.0-pre2, 2.0-pre3",core/src/test/java/com/graphhopper/routing/ch/NodeBasedNodeContractorTest.java,-1,-1,-1,1,1,0,100.0,68,68,68,69,69,69,-79.0,0.0,-40.0,2.0,1.0,0.0,100.0,142.0,141.0,71.0,221.0,220.0,110.0,23,2,3,0,0,0,0,0,0,0,0,0,0,0,,,0,8,0,0,10,0,274,23,40,121,0.03,9.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,3546c2ef8bcd74c128f6598a2b2c775e2f5c8d65,"2.0-pre2, 2.0-pre3",core/src/test/java/com/graphhopper/routing/ch/NodeBasedWitnessPathSearcherTest.java,4,4,4,1,1,0,100.0,28,28,28,24,24,24,-32.0,0.0,-16.0,2.0,1.0,0.0,100.0,20.0,11.0,10.0,52.0,43.0,26.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,14.0,1,0,0,0,3,0,65,5,6,43,0.09,6.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,085b091be00f3b7f24c92803d9b98419f2a924b9,"2.0-pre1, 2.0-pre2",core/src/test/java/com/graphhopper/routing/ch/NodeBasedNodeContractorTest.java,-68,0,-34,2,1,0,100.0,5,5,2,73,68,36,-40.0,-40.0,-40.0,1.0,1.0,0.0,100.0,57.0,57.0,57.0,97.0,97.0,97.0,23,2,1,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,0,8,0,0,10,0,277,23,36,126,0.03,9.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,085b091be00f3b7f24c92803d9b98419f2a924b9,"2.0-pre1, 2.0-pre2",core/src/test/java/com/graphhopper/routing/ch/EdgeBasedNodeContractorTest.java,-7,-7,-7,1,1,0,100.0,8,8,8,15,15,15,-110.0,1.0,-37.0,3.0,1.0,0.0,100.0,112.0,101.0,37.0,222.0,170.0,74.0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,62,0,0,63,0,904,84,105,408,0.0,3.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,02ceb5361a721989f575c2f9fb9be3988b960c55,"1.0-pre42, 1.0-pre43",core/src/test/java/com/graphhopper/routing/subnetwork/PrepareRoutingSubnetworksTest.java,-117,-117,-117,1,1,0,100.0,61,61,61,178,178,178,-56.0,14.0,-11.0,5.0,1.0,0.0,100.0,132.0,95.0,26.0,188.0,148.0,38.0,10,5,1,0,0,0,0,0,0,0,0,0,0,0,5.0,16.0,1,0,0,0,6,0,161,10,20,84,0.14,23.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,02ceb5361a721989f575c2f9fb9be3988b960c55,"1.0-pre42, 1.0-pre43",core/src/test/java/com/graphhopper/routing/subnetwork/TarjansSCCAlgorithmTest.java,322,161,161,2,1,0,100.0,322,161,161,0,0,0,193.0,195.0,39.0,5.0,1.0,0.0,100.0,253.0,195.0,51.0,60.0,38.0,12.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,77,3,3,25,0.16,12.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,f6d3f373d2b1cb06c2508768a872e9addf5617ce,"1.0-pre41, 1.0-pre42",core/src/test/java/com/graphhopper/routing/querygraph/QueryGraphTest.java,0,0,0,3,2,0,62.5,8,3,3,8,3,3,0.0,0.0,0.0,2.0,1.0,0.0,100.0,21.0,14.0,10.0,21.0,14.0,10.0,30,12,1,0,0,0,0,19,0,0,0,2,0,0,16.0,64.0,10,0,0,0,19,0,506,30,46,309,0.3,153.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,f6d3f373d2b1cb06c2508768a872e9addf5617ce,"1.0-pre41, 1.0-pre42",client-hc/src/test/java/com/graphhopper/api/GraphHopperWebTest.java,-2,-2,-2,1,1,0,100.0,4,4,4,6,6,6,0.0,0.0,0.0,1.0,1.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0,0,0,0,3,0,25,3,4,18,0.16,4.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,f6d3f373d2b1cb06c2508768a872e9addf5617ce,"1.0-pre41, 1.0-pre42",core/src/test/java/com/graphhopper/util/PathSimplificationTest.java,-1,0,0,2,2,1,96.3,13,13,6,14,13,7,0.0,0.0,0.0,1.0,1.0,0.0,100.0,8.0,8.0,8.0,8.0,8.0,8.0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,3,0,210,4,8,44,0.05,11.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,f6d3f373d2b1cb06c2508768a872e9addf5617ce,"1.0-pre41, 1.0-pre42",reader-osm/src/test/java/com/graphhopper/reader/osm/GraphHopperOSMTest.java,89,89,30,3,2,0,89.9,94,89,31,5,4,2,,,,,,,,,,,,,,32,27,5,0,0,0,10,0,0,0,0,2,0,0,0.0,0.0,9,1,0,4,28,0,699,41,96,542,,,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/AlternativeRouteCHTest.java,0,0,0,1,1,0,100.0,4,4,4,4,4,4,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,59,5,8,25,0.03,2.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/AlternativeRouteEdgeCHTest.java,0,0,0,2,2,0,60.0,5,3,2,5,3,2,,,,,,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,75,4,5,47,0.15,11.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/DijkstraBidirectionCHTest.java,0,0,0,2,2,0,90.91,11,10,6,11,10,6,,,,,,,,,,,,,,10,4,1,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1,2,0,0,6,0,160,11,18,105,0.14,22.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/RoutingAlgorithmTest.java,0,0,0,2,2,0,83.33,12,10,6,12,10,6,,,,,,,,,,,,,,53,17,2,1,0,0,1,0,0,0,0,17,0,0,,,2,1,2,0,29,0,835,63,103,339,0.12,99.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/ch/CHPreparationHandlerTest.java,0,0,0,2,1,0,100.0,43,41,22,43,41,22,0.0,0.0,0.0,3.0,1.0,0.0,100.0,43.0,31.0,14.0,43.0,31.0,14.0,8,1,1,0,0,0,0,6,0,0,0,0,0,0,5.0,23.0,0,0,0,0,6,0,75,8,15,30,0.04,3.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/ch/EdgeBasedNodeContractorTest.java,0,0,0,2,2,0,70.0,10,7,5,10,7,5,,,,,,,,,,,,,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,62,0,0,63,0,906,84,105,405,0.0,3.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/ch/PrepareContractionHierarchiesTest.java,0,0,0,1,1,0,100.0,34,34,34,34,34,34,0.0,0.0,0.0,1.0,1.0,0.0,100.0,16.0,16.0,16.0,16.0,16.0,16.0,31,7,2,0,0,0,0,7,0,0,0,0,0,0,4.0,17.0,0,2,0,0,16,0,423,35,54,196,0.1,42.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",reader-osm/src/test/java/com/graphhopper/reader/osm/GraphHopperOSMTest.java,0,0,0,5,1,0,100.0,80,44,16,80,44,16,,,,,,,,,,,,,,30,25,5,0,0,0,8,0,0,0,0,2,0,0,0.0,0.0,8,1,0,4,26,0,639,39,92,506,,,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,dfdd92cf5e0d7f2c6c2289b98b646dfb6cfd36c1,"1.0-pre40, 1.0-pre41",core/src/test/java/com/graphhopper/routing/lm/PrepareLandmarksTest.java,0,0,0,2,2,0,75.0,8,6,4,8,6,4,0.0,0.0,0.0,1.0,1.0,0.0,100.0,6.0,6.0,6.0,6.0,6.0,6.0,3,2,1,0,0,0,0,2,0,0,0,2,0,0,2.0,5.0,2,0,0,1,2,0,91,3,6,41,0.21,19.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,9cd273de3ca26549e77d9b89fa7b881f3bfb63a0,"1.0-pre34, 1.0-pre35",api/src/test/java/com/graphhopper/util/GHRequestTest.java,-12,-12,-12,1,1,0,100.0,18,18,18,30,30,30,-40.0,-40.0,-40.0,1.0,1.0,0.0,100.0,38.0,38.0,38.0,78.0,78.0,78.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,48,4,5,18,,,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,89014277adb6ee520e24183024e661701a62a0ea,"1.0-pre33.4, 1.0-pre34",core/src/test/java/com/graphhopper/routing/util/spatialrules/SpatialRuleLookupBuilderTest.java,-18,-18,-18,1,1,0,100.0,17,17,17,35,35,35,0.0,0.0,0.0,1.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,0,0,0,0,4,0,0,0,0,0,0,0,,,0,0,0,0,5,0,93,8,20,53,0.17,16.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,89014277adb6ee520e24183024e661701a62a0ea,"1.0-pre33.4, 1.0-pre34",core/src/test/java/com/graphhopper/routing/util/spatialrules/SpatialRuleLookupJTSTest.java,53,53,53,1,1,0,100.0,90,90,90,37,37,37,2.0,2.0,2.0,1.0,1.0,0.0,100.0,46.0,46.0,46.0,44.0,44.0,44.0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,3.0,11.0,0,0,0,0,5,0,152,17,34,45,0.19,29.0,True
